MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:95283	Edn1	endothelin 1	13		response to hypoxia			IMP	MGI:1857637 	J:40912 	
MGI:105923	Ednra	endothelin receptor type A	8		response to hypoxia			IMP	MGI:1857473 	J:46639 	
MGI:1932286	Egln1	egl-9 family hypoxia-inducible factor 1	8		cellular response to hypoxia			IBA	PTN004393218 	J:265628 	
MGI:1932286	Egln1	egl-9 family hypoxia-inducible factor 1	8		response to hypoxia			ISO	RGD:631375 	J:155856 	
MGI:1932286	Egln1	egl-9 family hypoxia-inducible factor 1	8		response to hypoxia			ISO	Q9GZT9 	J:164563 	
MGI:1932287	Egln2	egl-9 family hypoxia-inducible factor 2	7		cellular response to hypoxia			IBA	PTN004393218 	J:265628 	
MGI:1932287	Egln2	egl-9 family hypoxia-inducible factor 2	7		response to hypoxia			ISO	Q96KS0 	J:164563 	
MGI:1932288	Egln3	egl-9 family hypoxia-inducible factor 3	12		cellular response to hypoxia			IBA	PTN004393218 	J:265628 	
MGI:95295	Egr1	early growth response 1	18		regulation of transcription from RNA polymerase II promoter in response to hypoxia	happens in aortic endothelial cell		IDA		J:149031 	
MGI:95295	Egr1	early growth response 1	18		response to hypoxia			IMP		J:66141 	
MGI:103267	Eif4ebp1	eukaryotic translation initiation factor 4E binding protein 1	8		cellular response to hypoxia			ISO	RGD:620259 	J:155856 	
MGI:95392	Eng	endoglin	2		detection of hypoxia			ISO	P17813 	J:164563 	
MGI:95392	Eng	endoglin	2		response to hypoxia			ISO	P17813 	J:164563 	
MGI:95393	Eno1	enolase 1, alpha non-neuron	4		negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway			ISO	P06733 	J:164563 	
MGI:3648653	Eno1b	enolase 1B, retrotransposed	18		negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway			ISO	P06733 	J:164563 	
MGI:1276116	Ep300	E1A binding protein p300	15		positive regulation of cellular response to hypoxia			ISO	RGD:620036 	J:155856 	
MGI:1276116	Ep300	E1A binding protein p300	15		response to hypoxia			ISO	Q09472 	J:164563 	
MGI:1276116	Ep300	E1A binding protein p300	15		response to hypoxia			ISS	Q09472 	J:156233 	
MGI:109169	Epas1	endothelial PAS domain protein 1	17		cellular response to hypoxia			IBA	PTN000548864 	J:265628 	
MGI:109169	Epas1	endothelial PAS domain protein 1	17		cellular response to hypoxia			ISO	Q99814 	J:164563 	
MGI:109169	Epas1	endothelial PAS domain protein 1	17		response to hypoxia	happens in metanephros		IMP	MGI:1861921 	J:98454 	
MGI:109169	Epas1	endothelial PAS domain protein 1	17		response to hypoxia			IMP		J:230295 	
MGI:109169	Epas1	endothelial PAS domain protein 1	17		response to hypoxia			ISO	RGD:68404 	J:155856 	
MGI:109169	Epas1	endothelial PAS domain protein 1	17		response to hypoxia			ISO	Q99814 	J:75462 	
MGI:98277	Epha4	Eph receptor A4	1		negative regulation of cellular response to hypoxia			ISO	P54764 	J:164563 	
MGI:95407	Epo	erythropoietin	5		response to hypoxia			IDA		J:90918 	
MGI:95479	Fabp1	fatty acid binding protein 1, liver	6		cellular response to hypoxia			ISO	P07148 	J:164563 	
MGI:1917436	Fam162a	family with sequence similarity 162, member A	16		cellular response to hypoxia			IBA	PTN002671238 	J:265628 	
MGI:1917436	Fam162a	family with sequence similarity 162, member A	16		cellular response to hypoxia			IDA		J:183968 	
MGI:1917436	Fam162a	family with sequence similarity 162, member A	16		cellular response to hypoxia			ISO	Q96A26 	J:164563 	
MGI:95558	Flt1	FMS-like tyrosine kinase 1	5		response to hypoxia			IMP	MGI:1857717 	J:204805 	
MGI:95558	Flt1	FMS-like tyrosine kinase 1	5		response to hypoxia			ISO	RGD:2621 	J:155856 	
MGI:1859252	Fmn2	formin 2	1		cellular response to hypoxia			ISO	Q9NZ56 	J:164563 	
MGI:1915905	Fndc1	fibronectin type III domain containing 1	17		cellular response to hypoxia			ISO	Q2Q0I9 	J:156343 	
MGI:102858	Fosl2	fos-like antigen 2	5		response to hypoxia			IMP		J:137646 	
MGI:102858	Fosl2	fos-like antigen 2	5		response to hypoxia			ISO	RGD:2628 	J:155856 	
MGI:1919268	Fundc1	FUN14 domain containing 1	X		response to hypoxia			ISO	Q8IVP5 	J:164563 	
MGI:1919268	Fundc1	FUN14 domain containing 1	X		response to hypoxia			ISO	Q8IVP5 	J:185082 	
MGI:108520	Fzd4	frizzled class receptor 4	7		response to hypoxia			IMP	MGI:2387667 	J:230295 	
MGI:107516	Gata6	GATA binding protein 6	18		cellular response to hypoxia			ISO	Q92908 	J:164563 	
MGI:95781	Gnb1	guanine nucleotide binding protein (G protein), beta 1	4		cellular response to hypoxia			ISO	P54311 	J:156343 	
MGI:109165	Gngt1	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1	6		cellular response to hypoxia			ISO	D4AAI1 	J:156343 	
MGI:95821	Grin2b	glutamate receptor, ionotropic, NMDA2B (epsilon 2)	6		response to hypoxia			ISO	RGD:2738 	J:155856 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		cellular response to hypoxia			IBA	PTN000548864 	J:265628 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		cellular response to hypoxia			IGI	MGI:101884 	J:203819 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		cellular response to hypoxia			IGI	MGI:2676890 	J:203819 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		cellular response to hypoxia			IGI	MGI:3618742 	J:203819 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		cellular response to hypoxia			ISO	RGD:61928 	J:155856 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		cellular response to hypoxia			ISO	Q16665 	J:164563 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		hypoxia-inducible factor-1alpha signaling pathway			IDA		J:12228 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		positive regulation of transcription from RNA polymerase II promoter in response to hypoxia			ISO	Q16665 	J:164563 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		response to hypoxia			IDA		J:35141 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		response to hypoxia			IDA		J:74294 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		response to hypoxia			IGI	MGI:96552 	J:121261 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		response to hypoxia			IMP	MGI:1857719 	J:53389 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		response to hypoxia	happens in carotid body		IMP	MGI:1857719 	J:73981 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		response to hypoxia			IMP	MGI:2385358 	J:48084 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		response to hypoxia			IMP	MGI:2386679 	J:148996 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		response to hypoxia	happens in epithelial cell of proximal tubule		IMP		J:319685 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		response to hypoxia			ISO	RGD:61928 	J:155856 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		response to hypoxia			ISO	Q16665 	J:164563 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		response to hypoxia			ISO	Q16665 	J:75462 	
MGI:1859778	Hif3a	hypoxia inducible factor 3, alpha subunit	7		cellular response to hypoxia			IBA	PTN000548864 	J:265628 	
MGI:1859778	Hif3a	hypoxia inducible factor 3, alpha subunit	7		response to hypoxia			IDA		J:62516 	
MGI:1930666	Higd1a	HIG1 domain family, member 1A	9		cellular response to hypoxia			IDA		J:111830 	
MGI:1930666	Higd1a	HIG1 domain family, member 1A	9		cellular response to hypoxia			IDA		J:180719 	
MGI:1930666	Higd1a	HIG1 domain family, member 1A	9		cellular response to hypoxia			IMP		J:222038 	
MGI:96163	Hmox1	heme oxygenase 1	8		response to hypoxia			ISO	RGD:2806 	J:155856 	
MGI:109373	Hmox2	heme oxygenase 2	16		response to hypoxia			ISO	P30519 	J:164563 	
MGI:109369	Hp1bp3	heterochromatin protein 1, binding protein 3	4		cellular response to hypoxia			ISO	Q5SSJ5 	J:164563 	
MGI:108030	Hyou1	hypoxia up-regulated 1	9		cellular response to hypoxia			IBA	PTN000452651 	J:265628 	
MGI:108030	Hyou1	hypoxia up-regulated 1	9		cellular response to hypoxia			ISO	Q9Y4L1 	J:164563 	
MGI:108030	Hyou1	hypoxia up-regulated 1	9		negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway			IBA	PTN000452651 	J:265628 	
MGI:108030	Hyou1	hypoxia up-regulated 1	9		negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway			ISO	RGD:621146 	J:155856 	
MGI:108030	Hyou1	hypoxia up-regulated 1	9		negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway			ISO	Q9Y4L1 	J:164563 	
MGI:108030	Hyou1	hypoxia up-regulated 1	9		response to hypoxia			ISO	RGD:621146 	J:155856 	
MGI:96552	Il3	interleukin 3	11		response to hypoxia			IGI	MGI:106918 	J:121261 	
MGI:107936	Il18	interleukin 18	9		response to hypoxia			ISO	RGD:2889 	J:155856 	
MGI:96623	Itpr1	inositol 1,4,5-trisphosphate receptor 1	6		response to hypoxia			IDA		J:145985 	
MGI:96623	Itpr1	inositol 1,4,5-trisphosphate receptor 1	6		response to hypoxia			ISO	Q14643 	J:164563 	
MGI:99418	Itpr2	inositol 1,4,5-triphosphate receptor 2	6		response to hypoxia			ISO	Q14571 	J:164563 	
MGI:102663	Kcnd2	potassium voltage-gated channel, Shal-related family, member 2	6		cellular response to hypoxia			ISO	RGD:68393 	J:155856 	
MGI:1100508	Kcnj8	potassium inwardly-rectifying channel, subfamily J, member 8	6		response to hypoxia			IMP	MGI:6358100 	J:247273 	
MGI:1100508	Kcnj8	potassium inwardly-rectifying channel, subfamily J, member 8	6		response to hypoxia			IMP	MGI:6358100 	J:264001 	
MGI:107501	Kcnj11	potassium inwardly rectifying channel, subfamily J, member 11	7		response to hypoxia			IMP	MGI:2178821 	J:125018 	
MGI:109366	Kcnk2	potassium channel, subfamily K, member 2	1		positive regulation of cellular response to hypoxia			ISO	RGD:621448 	J:155856 	
MGI:1100509	Kcnk3	potassium channel, subfamily K, member 3	5		cellular response to hypoxia			ISO	RGD:61997 	J:155856 	
MGI:99923	Kcnma1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	14		response to hypoxia			IDA		J:104394 	
MGI:99923	Kcnma1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	14		response to hypoxia			ISO	RGD:620715 	J:155856 	
MGI:99923	Kcnma1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	14		response to hypoxia			ISO	Q12791 	J:164563 	
MGI:1095419	Kdm6a	lysine (K)-specific demethylase 6A	X		negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway			ISO	RGD:9275041 	J:155856 	
MGI:96683	Kdr	kinase insert domain protein receptor	5		response to hypoxia			ISO	RGD:2965 	J:155856 	
MGI:104576	Lct	lactase	1		response to hypoxia			ISO	RGD:620823 	J:155856 	
MGI:96787	Lif	leukemia inhibitory factor	11		response to hypoxia			IMP	MGI:2177780 	J:137646 	
MGI:1352502	Limd1	LIM domains containing 1	9		response to hypoxia			IBA	PTN001198456 	J:265628 	
MGI:1352502	Limd1	LIM domains containing 1	9		response to hypoxia			ISO	Q9UGP4 	J:164563 	
MGI:2137913	Loxl2	lysyl oxidase-like 2	14		response to hypoxia			IDA		J:184108 	
MGI:1346866	Map2k1	mitogen-activated protein kinase kinase 1	9		negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway			ISO	RGD:70495 	J:155856 	
MGI:96922	Mb	myoglobin	15		response to hypoxia			IMP	MGI:2159004 	J:95767 	
MGI:99918	Mecp2	methyl CpG binding protein 2	X		response to hypoxia			IMP	MGI:2137311 	J:130772 	
MGI:1914999	Mgarp	mitochondria localized glutamic acid rich protein	3		cellular response to hypoxia			IDA		J:150420 	
MGI:3618742	Mir199a-2	microRNA 199a-2	1		cellular response to hypoxia	happens in cardiac muscle tissue		IGI	MGI:101884 	J:203819 	
MGI:3618742	Mir199a-2	microRNA 199a-2	1		cellular response to hypoxia	happens in cardiac muscle tissue		IGI	MGI:106918 	J:203819 	
MGI:3618742	Mir199a-2	microRNA 199a-2	1		cellular response to hypoxia	happens in cardiac muscle tissue		IGI	MGI:2676890 	J:203819 	
MGI:2676890	Mir214	microRNA 214	1		cellular response to hypoxia	happens in cardiac muscle tissue		IGI	MGI:101884 	J:203819 	
MGI:2676890	Mir214	microRNA 214	1		cellular response to hypoxia	happens in cardiac muscle tissue		IGI	MGI:106918 	J:203819 	
MGI:2676890	Mir214	microRNA 214	1		cellular response to hypoxia	happens in cardiac muscle tissue		IGI	MGI:3618742 	J:203819 	
MGI:3629905	Mir668	microRNA 668	12		cellular response to hypoxia			IDA		J:271010 	
MGI:3718564	Mir874	microRNA 874	13		cellular response to hypoxia			ISO	MIR874 	J:206664 	
MGI:1929514	Mlst8	MTOR associated protein, LST8 homolog (S. cerevisiae)	17		cellular response to hypoxia			NAS		J:320285 	
MGI:97009	Mmp2	matrix metallopeptidase 2	8		response to hypoxia			IBA	PTN002565602 	J:265628 	
MGI:97009	Mmp2	matrix metallopeptidase 2	8		response to hypoxia	happens in smooth muscle cell,happens in thoracic aorta		IDA		J:124454 	
MGI:97009	Mmp2	matrix metallopeptidase 2	8		response to hypoxia			ISO	RGD:621316 	J:155856 	
MGI:97173	Mt3	metallothionein 3	8		response to hypoxia			ISO	P25713 	J:164563 	
MGI:1928394	Mtor	mechanistic target of rapamycin kinase	4		cellular response to hypoxia			IDA		J:111744 	
MGI:1928394	Mtor	mechanistic target of rapamycin kinase	4		cellular response to hypoxia			NAS		J:320285 	
MGI:97250	Myc	myelocytomatosis oncogene	15		cellular response to hypoxia			ISO	P01106 	J:164563 	
MGI:1915419	Ndnf	neuron-derived neurotrophic factor	6		cellular response to hypoxia			ISO	Q8TB73 	J:164563 	
MGI:102570	Ndp	Norrie disease (pseudoglioma) (human)	X		cellular response to hypoxia	happens in cerebral cortex neuron		IMP	MGI:4414794 	J:274656 	
MGI:102570	Ndp	Norrie disease (pseudoglioma) (human)	X		response to hypoxia			IMP	MGI:4414794 	J:230295 	
MGI:97306	Nf1	neurofibromin 1	11		response to hypoxia	happens in retina blood vessel,happens in cornea blood vessel		IMP	MGI:1857444 	J:108781 	
MGI:103296	Nfatc3	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3	8		response to hypoxia	happens in pancreatico-duodenal artery		IDA		J:122579 	
MGI:108420	Nfe2l2	nuclear factor, erythroid derived 2, like 2	2		negative regulation of cellular response to hypoxia			ISO	RGD:620360 	J:155856 	
MGI:108420	Nfe2l2	nuclear factor, erythroid derived 2, like 2	2		positive regulation of transcription from RNA polymerase II promoter in response to hypoxia			ISO	Q16236 	J:164563 	
MGI:2151886	Ngb	neuroglobin	12		response to hypoxia			IBA	PTN000531802 	J:265628 	
MGI:97352	Nkx3-1	NK3 homeobox 1	14		cellular response to hypoxia			ISO	Q99801 	J:164563 	
MGI:1925938	Nol3	nucleolar protein 3 (apoptosis repressor with CARD domain)	8		cellular response to hypoxia			ISO	RGD:708558 	J:155856 	
MGI:1925938	Nol3	nucleolar protein 3 (apoptosis repressor with CARD domain)	8		negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway			ISO	RGD:708558 	J:155856 	
MGI:1925938	Nol3	nucleolar protein 3 (apoptosis repressor with CARD domain)	8		response to hypoxia	happens in cardiac muscle cell		IMP		J:143120 	
MGI:2154441	Nop53	NOP53 ribosome biogenesis factor	7		cellular response to hypoxia			ISO	Q9NZM5 	J:164563 	
MGI:97361	Nos2	nitric oxide synthase 2, inducible	11		response to hypoxia			IDA		J:85387 	
MGI:97363	Notch1	notch 1	2		cellular response to hypoxia			IDA		J:183961 	
MGI:1101358	Npepps	aminopeptidase puromycin sensitive	11		cellular response to hypoxia			ISO	P55786 	J:164563 	
MGI:1352456	Nr4a2	nuclear receptor subfamily 4, group A, member 2	2		response to hypoxia			IMP	MGI:2157566 	J:105253 	
MGI:1339639	Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	X		negative regulation of cellular response to hypoxia			ISO	RGD:62060 	J:155856 	
MGI:97438	Oprd1	opioid receptor, delta 1	4		cellular response to hypoxia			ISO	P41143 	J:164563 	
MGI:2665170	P2rx2	purinergic receptor P2X, ligand-gated ion channel, 2	5		response to hypoxia			IMP	MGI:2687349 	J:86890 	
MGI:1097160	P2rx3	purinergic receptor P2X, ligand-gated ion channel, 3	2		response to hypoxia			IMP	MGI:1934019 	J:86890 	
MGI:97464	P4hb	prolyl 4-hydroxylase, beta polypeptide	11		cellular response to hypoxia			ISO	P07237 	J:164563 	
MGI:1339975	Pak1	p21 (RAC1) activated kinase 1	7		response to hypoxia			ISO	RGD:3250 	J:155856 	
MGI:1926119	Pdk1	pyruvate dehydrogenase kinase, isoenzyme 1	2		hypoxia-inducible factor-1alpha signaling pathway			ISO	Q15118 	J:164563 	
